formatted_text
"A Men Apparel item. Type: Shirts, Color: Navy Blue, Usage: Casual."
"A Men Apparel item. Type: Jeans, Color: Blue, Usage: Casual."
"A Women Accessories item. Type: Watches, Color: Silver, Usage: Casual."
"A Men Apparel item. Type: Track Pants, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Grey, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Grey, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Green, Usage: Ethnic."
"A Women Apparel item. Type: Shirts, Color: Purple, Usage: Casual."
"A Men Accessories item. Type: Socks, Color: Navy Blue, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Black, Usage: Casual."
"A Women Accessories item. Type: Belts, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Flip Flops, Color: Black, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Blue, Usage: Casual."
"A Boys Footwear item. Type: Flip Flops, Color: Navy Blue, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Purple, Usage: Formal."
"A Men Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Girls Apparel item. Type: Tops, Color: White, Usage: Casual."
"A Women Apparel item. Type: Bra, Color: Beige, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Brown, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Black, Usage: Casual."
"A Unisex Accessories item. Type: Shoe Accessories, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Sweatshirts, Color: Grey, Usage: Sports."
"A Men Personal Care item. Type: Deodorant, Color: White, Usage: Casual."
"A Men Footwear item. Type: Formal Shoes, Color: Black, Usage: Formal."
"A Women Accessories item. Type: Bracelet, Color: Bronze, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Navy Blue, Usage: Sports."
"A Women Personal Care item. Type: Lipstick, Color: Brown, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Brown, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Navy Blue, Usage: Formal."
"A Boys Apparel item. Type: Tshirts, Color: Green, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Brown, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: White, Usage: Casual."
"A Women Footwear item. Type: Flats, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Green, Usage: Ethnic."
"A Women Accessories item. Type: Handbags, Color: White, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Teal, Usage: Casual."
"A Women Accessories item. Type: Watches, Color: Copper, Usage: Casual."
"A Women Apparel item. Type: Tshirts, Color: Pink, Usage: Casual."
"A Men Accessories item. Type: Belts, Color: Black, Usage: Formal."
"A Women Footwear item. Type: Flats, Color: Brown, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Off White, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Beige, Usage: Ethnic."
"A Men Apparel item. Type: Waistcoat, Color: Grey, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: White, Usage: Sports."
"A Men Apparel item. Type: Shorts, Color: Black, Usage: Sports."
"A Men Apparel item. Type: Briefs, Color: Maroon, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Red, Usage: Formal."
"A Women Accessories item. Type: Belts, Color: Black, Usage: Casual."
"A Women Accessories item. Type: Watches, Color: White, Usage: Casual."
"A Men Footwear item. Type: Formal Shoes, Color: Black, Usage: Formal."
"A Women Apparel item. Type: Kurtas, Color: Brown, Usage: Ethnic."
"A Men Apparel item. Type: Briefs, Color: Blue, Usage: Casual."
"A Men Footwear item. Type: Formal Shoes, Color: Black, Usage: Formal."
"A Men Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Tshirts, Color: Purple, Usage: Casual."
